NTC R/T Calculation 5.0
Type,= K164/1 k/+, ,Ordering code,= 'B57164K0102J000'
R/T characteristic,= 1011, ,B(25/100),= 3730.0 [K] ± 3.0%
R at 25°C,= 1000.0 [Ohm], ,R nom at 25°C,= 1000.0 [Ohm] ± 5.0%
 
T[°C],R nom[Ohm],R min[Ohm],R max[Ohm],deltaR/R [+-%],deltaT [+-°C],alpha [%K]
-55,70014,56842,83186,18.8,2.7,6.9
-54,65363,53219,77507,18.6,2.7,6.8
-53,61053,49851,72254,18.3,2.7,6.8
-52,57056,46719,67393,18.1,2.7,6.7
-51,53348,43804,62892,17.9,2.7,6.7
-50,49906,41090,58721,17.7,2.7,6.6
-49,46709,38562,54855,17.4,2.6,6.6
-48,43738,36207,51269,17.2,2.6,6.5
-47,40976,34010,47941,17.0,2.6,6.5
-46,38406,31961,44852,16.8,2.6,6.5
-45,36015,30049,41981,16.6,2.6,6.4
-44,33789,28264,39314,16.4,2.6,6.4
-43,31714,26596,36833,16.1,2.6,6.3
-42,29781,25037,34524,15.9,2.5,6.3
-41,27978,23580,32376,15.7,2.5,6.2
-40,26296,22216,30375,15.5,2.5,6.2
-39,24725,20940,28510,15.3,2.5,6.1
-38,23259,19746,26772,15.1,2.5,6.1
-37,21889,18627,25151,14.9,2.5,6.1
-36,20609,17578,23639,14.7,2.4,6.0
-35,19411,16595,22227,14.5,2.4,6.0
-34,18291,15674,20908,14.3,2.4,5.9
-33,17242,14809,19676,14.1,2.4,5.9
-32,16260,13997,18524,13.9,2.4,5.9
-31,15341,13235,17447,13.7,2.4,5.8
-30,14479,12518,16439,13.5,2.3,5.8
-29,13669,11844,15494,13.4,2.3,5.7
-28,12910,11210,14609,13.2,2.3,5.7
-27,12198,10615,13781,13.0,2.3,5.7
-26,11530,10055,13005,12.8,2.3,5.6
-25,10903,9527.9,12278,12.6,2.3,5.6
-24,10314,9032.0,11596,12.4,2.2,5.5
-23,9761.0,8565.1,10957,12.3,2.2,5.5
-22,9241.1,8125.4,10357,12.1,2.2,5.5
-21,8752.2,7710.9,9793.4,11.9,2.2,5.4
-20,8292.3,7320.3,9264.3,11.7,2.2,5.4
-19,7857.7,6950.3,8765.1,11.5,2.2,5.4
-18,7448.7,6601.4,8296.0,11.4,2.1,5.3
-17,7063.6,6272.2,7855.0,11.2,2.1,5.3
-16,6700.9,5961.5,7440.3,11.0,2.1,5.3
-15,6359.1,5668.2,7050.0,10.9,2.1,5.2
-14,6036.9,5391.1,6682.7,10.7,2.1,5.2
-13,5733.0,5129.2,6336.9,10.5,2.0,5.2
-12,5446.4,4881.7,6011.0,10.4,2.0,5.1
-11,5175.8,4647.7,5704.0,10.2,2.0,5.1
-10,4920.4,4426.3,5414.5,10.0,2.0,5.1
-9,4676.2,4214.1,5138.2,9.9,2.0,5.0
-8,4445.6,4013.5,4877.8,9.7,1.9,5.0
-7,4227.9,3823.6,4632.2,9.6,1.9,5.0
-6,4022.2,3643.9,4400.5,9.4,1.9,4.9
-5,3827.9,3473.8,4181.9,9.2,1.9,4.9
-4,3644.1,3312.7,3975.5,9.1,1.9,4.9
-3,3470.3,3160.0,3780.5,8.9,1.8,4.8
-2,3305.9,3015.4,3596.4,8.8,1.8,4.8
-1,3150.3,2878.2,3422.3,8.6,1.8,4.8
0,3002.9,2748.1,3257.7,8.5,1.8,4.8
1,2864.1,2625.4,3102.9,8.3,1.8,4.7
2,2732.6,2508.8,2956.3,8.2,1.7,4.7
3,2607.8,2398.2,2817.5,8.0,1.7,4.7
4,2489.5,2293.0,2686.1,7.9,1.7,4.6
5,2377.3,2193.1,2561.5,7.7,1.7,4.6
6,2270.8,2098.1,2443.5,7.6,1.7,4.6
7,2169.7,2007.8,2331.6,7.5,1.6,4.6
8,2073.7,1922.0,2225.5,7.3,1.6,4.5
9,1982.6,1840.2,2124.9,7.2,1.6,4.5
10,1895.9,1762.5,2029.3,7.0,1.6,4.5
11,1813.1,1688.0,1938.2,6.9,1.6,4.4
12,1734.4,1617.1,1851.6,6.8,1.5,4.4
13,1659.5,1549.6,1769.4,6.6,1.5,4.4
14,1588.4,1485.3,1691.4,6.5,1.5,4.4
15,1520.7,1424.1,1617.3,6.4,1.5,4.3
16,1456.2,1365.7,1546.8,6.2,1.4,4.3
17,1394.9,1310.0,1479.8,6.1,1.4,4.3
18,1336.6,1257.0,1416.1,6.0,1.4,4.3
19,1281.0,1206.4,1355.5,5.8,1.4,4.2
20,1228.0,1158.1,1297.9,5.7,1.4,4.2
21,1178.0,1112.5,1243.5,5.6,1.3,4.2
22,1130.3,1068.9,1191.7,5.4,1.3,4.2
23,1084.8,1027.3,1142.4,5.3,1.3,4.1
24,1041.4,987.53,1095.3,5.2,1.3,4.1
25,1000.0,950.00,1050.0,5.0,1.2,4.1
26,960.11,910.42,1009.8,5.2,1.3,4.1
27,922.03,873.16,970.90,5.3,1.3,4.0
28,885.68,837.64,933.72,5.4,1.3,4.0
29,850.96,803.76,898.16,5.5,1.4,4.0
30,817.79,771.43,864.15,5.7,1.4,4.0
31,786.28,740.75,831.81,5.8,1.5,4.0
32,756.16,711.46,800.85,5.9,1.5,3.9
33,727.34,683.48,771.21,6.0,1.5,3.9
34,699.78,656.75,742.82,6.1,1.6,3.9
35,673.41,631.20,715.62,6.3,1.6,3.9
36,648.16,606.78,689.55,6.4,1.7,3.8
37,624.00,583.43,664.57,6.5,1.7,3.8
38,600.86,561.10,640.63,6.6,1.7,3.8
39,578.70,539.74,617.67,6.7,1.8,3.8
40,557.47,519.30,595.65,6.8,1.8,3.8
41,537.06,499.67,574.45,7.0,1.9,3.7
42,517.51,480.89,554.12,7.1,1.9,3.7
43,498.76,462.92,534.61,7.2,1.9,3.7
44,480.80,445.71,515.89,7.3,2.0,3.7
45,463.57,429.22,497.92,7.4,2.0,3.7
46,447.05,413.43,480.67,7.5,2.1,3.6
47,431.20,398.31,464.10,7.6,2.1,3.6
48,416.00,383.81,448.19,7.7,2.2,3.6
49,401.41,369.91,432.90,7.8,2.2,3.6
50,387.40,356.59,418.21,8.0,2.2,3.6
51,373.55,343.44,403.66,8.1,2.3,3.5
52,360.28,330.85,389.70,8.2,2.3,3.5
53,347.56,318.81,376.31,8.3,2.4,3.5
54,335.37,307.27,363.46,8.4,2.4,3.5
55,323.68,296.23,351.13,8.5,2.5,3.5
56,312.47,285.64,339.29,8.6,2.5,3.4
57,301.72,275.50,327.93,8.7,2.5,3.4
58,291.40,265.79,317.01,8.8,2.6,3.4
59,281.50,256.47,306.53,8.9,2.6,3.4
60,272.00,247.53,296.46,9.0,2.7,3.4
61,263.02,239.11,286.94,9.1,2.7,3.4
62,254.39,231.01,277.78,9.2,2.8,3.3
63,246.09,223.22,268.96,9.3,2.8,3.3
64,238.10,215.74,260.46,9.4,2.8,3.3
65,230.41,208.55,252.28,9.5,2.9,3.3
66,223.01,201.63,244.39,9.6,2.9,3.3
67,215.88,194.98,236.79,9.7,3.0,3.2
68,209.02,188.58,229.46,9.8,3.0,3.2
69,202.41,182.42,222.40,9.9,3.1,3.2
70,196.04,176.49,215.59,10.0,3.1,3.2
71,189.87,170.76,208.99,10.1,3.2,3.2
72,183.93,165.24,202.62,10.2,3.2,3.2
73,178.20,159.93,196.48,10.3,3.3,3.1
74,172.68,154.81,190.55,10.3,3.3,3.1
75,167.35,149.88,184.83,10.4,3.3,3.1
76,162.22,145.13,179.30,10.5,3.4,3.1
77,157.26,140.55,173.97,10.6,3.4,3.1
78,152.48,136.14,168.82,10.7,3.5,3.1
79,147.87,131.89,163.85,10.8,3.5,3.1
