NTC R/T Calculation 5.0
Type,= K164/10 k/+, ,Ordering code,= 'B57164K0103J000'
R/T characteristic,= 2904, ,B(25/100),= 4300.0 [K] ± 3.0%
R at 25°C,= 10000.0 [Ohm], ,R nom at 25°C,= 10000 [Ohm] ± 5.0%
 
T[°C],R nom[Ohm],R min[Ohm],R max[Ohm],deltaR/R [+-%],deltaT [+-°C],alpha [%K]
-55,1214600,960540,1468600,20.9,2.9,7.3
-54,1128600,895550,1361600,20.6,2.9,7.2
-53,1049000,835250,1262800,20.4,2.8,7.2
-52,975470,779260,1171700,20.1,2.8,7.2
-51,907400,727260,1087500,19.9,2.8,7.2
-50,844390,678960,1009800,19.6,2.7,7.1
-49,786040,634070,938020,19.3,2.7,7.1
-48,732000,592340,871650,19.1,2.7,7.1
-47,681910,553540,810280,18.8,2.7,7.1
-46,635490,517450,753520,18.6,2.6,7.0
-45,592430,483870,701000,18.3,2.6,7.0
-44,552490,452610,652370,18.1,2.6,7.0
-43,515430,423510,607350,17.8,2.6,6.9
-42,481020,396400,565640,17.6,2.5,6.9
-41,449070,371150,526980,17.4,2.5,6.9
-40,419380,347620,491150,17.1,2.5,6.9
-39,391800,325680,457920,16.9,2.5,6.8
-38,366150,305220,427090,16.6,2.5,6.8
-37,342300,286130,398480,16.4,2.4,6.8
-36,320120,268330,371910,16.2,2.4,6.7
-35,299470,251710,347240,16.0,2.4,6.7
-34,280260,236190,324320,15.7,2.4,6.7
-33,262360,221690,303020,15.5,2.3,6.6
-32,245690,208150,283220,15.3,2.3,6.6
-31,230150,195500,264810,15.1,2.3,6.6
-30,215670,183670,247670,14.8,2.3,6.5
-29,202070,172530,231610,14.6,2.3,6.5
-28,189410,162130,216690,14.4,2.2,6.4
-27,177620,152410,202820,14.2,2.2,6.4
-26,166640,143350,189930,14.0,2.2,6.4
-25,156410,134870,177940,13.8,2.2,6.3
-24,146860,126950,166780,13.6,2.1,6.3
-23,137960,119540,156380,13.4,2.1,6.3
-22,129660,112610,146700,13.1,2.1,6.2
-21,121900,106120,137680,12.9,2.1,6.2
-20,114660,100050,129270,12.7,2.1,6.2
-19,107780,94263,121300,12.5,2.0,6.1
-18,101360,88848,113870,12.3,2.0,6.1
-17,95358,83778,106940,12.1,2.0,6.1
-16,89752,79028,100480,11.9,2.0,6.0
-15,84510,74576,94443,11.8,2.0,6.0
-14,79606,70403,88810,11.6,1.9,6.0
-13,75017,66488,83547,11.4,1.9,5.9
-12,70721,62814,78628,11.2,1.9,5.9
-11,66697,59366,74028,11.0,1.9,5.9
-10,62927,56128,69726,10.8,1.9,5.8
-9,59331,53030,65631,10.6,1.8,5.8
-8,55963,50123,61803,10.4,1.8,5.8
-7,52808,47394,58222,10.3,1.8,5.7
-6,49850,44830,54870,10.1,1.8,5.7
-5,47077,42421,51733,9.9,1.8,5.6
-4,44475,40155,48794,9.7,1.7,5.6
-3,42033,38025,46040,9.5,1.7,5.6
-2,39740,36021,43459,9.4,1.7,5.5
-1,37587,34135,41038,9.2,1.7,5.5
0,35563,32359,38767,9.0,1.6,5.5
1,33662,30687,36637,8.8,1.6,5.5
2,31874,29112,34637,8.7,1.6,5.4
3,30192,27627,32758,8.5,1.6,5.4
4,28609,26227,30992,8.3,1.6,5.4
5,27119,24905,29332,8.2,1.5,5.3
6,25715,23659,27771,8.0,1.5,5.3
7,24392,22482,26302,7.8,1.5,5.3
8,23145,21370,24919,7.7,1.5,5.2
9,21969,20320,23617,7.5,1.4,5.2
10,20860,19328,22391,7.3,1.4,5.2
11,19820,18396,21243,7.2,1.4,5.1
12,18838,17515,20161,7.0,1.4,5.1
13,17910,16681,19140,6.9,1.4,5.1
14,17033,15891,18176,6.7,1.3,5.0
15,16204,15143,17266,6.6,1.3,5.0
16,15420,14434,16407,6.4,1.3,5.0
17,14679,13762,15595,6.2,1.3,5.0
18,13977,13126,14828,6.1,1.2,4.9
19,13313,12522,14103,5.9,1.2,4.9
20,12683,11949,13418,5.8,1.2,4.9
21,12088,11406,12769,5.6,1.2,4.8
22,11523,10891,12156,5.5,1.1,4.8
23,10988,10401,11575,5.3,1.1,4.8
24,10481,9936.5,11026,5.2,1.1,4.8
25,10000,9500.0,10500,5.0,1.1,4.7
26,9544.6,9048.8,10040,5.2,1.1,4.7
27,9112.3,8625.9,9598.8,5.3,1.1,4.7
28,8701.9,8225.0,9178.9,5.5,1.2,4.6
29,8312.2,7844.8,8779.6,5.6,1.2,4.6
30,7942.0,7484.2,8399.7,5.8,1.3,4.6
31,7584.7,7137.0,8032.5,5.9,1.3,4.6
32,7245.6,6807.7,7683.4,6.0,1.3,4.5
33,6923.5,6495.6,7351.4,6.2,1.4,4.5
34,6617.5,6199.4,7035.6,6.3,1.4,4.5
35,6326.8,5918.4,6735.1,6.5,1.4,4.5
36,6050.4,5651.7,6449.1,6.6,1.5,4.4
37,5787.7,5398.5,6176.9,6.7,1.5,4.4
38,5537.8,5158.1,5917.6,6.9,1.6,4.4
39,5300.2,4929.6,5670.7,7.0,1.6,4.4
40,5074.0,4712.6,5435.4,7.1,1.6,4.3
41,4860.6,4508.0,5213.1,7.3,1.7,4.3
42,4657.2,4313.3,5001.1,7.4,1.7,4.3
43,4463.5,4128.1,4798.8,7.5,1.8,4.3
44,4278.8,3951.8,4605.7,7.6,1.8,4.2
45,4102.6,3783.9,4421.4,7.8,1.8,4.2
46,3934.7,3624.0,4245.4,7.9,1.9,4.2
47,3774.4,3471.6,4077.3,8.0,1.9,4.2
48,3621.5,3326.4,3916.6,8.1,2.0,4.1
49,3475.6,3188.1,3763.1,8.3,2.0,4.1
50,3336.3,3056.1,3616.4,8.4,2.0,4.1
51,3202.3,2929.5,3475.2,8.5,2.1,4.1
52,3074.4,2808.7,3340.1,8.6,2.1,4.1
